% 1. Title: 
% 
% 2. Sources:
%      (a) Creator: A. P. B. Grezzana
%      (b) Donor: 
%      (c) Date: June, 2021
% 
% 3. Past Usage:
% 
% 4. Relevant Information:
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 19 attributes and 2 classes.
% 
% 7. Attribute Information:
%    1. 14 Haralick features
%    2. 5 NGTDM features
%    3. class: 
%       -- 0
%       -- 1
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
% 
% 9. Class Distribution: 

@RELATION iris

@ATTRIBUTE haralickEnergy	REAL
@ATTRIBUTE haralickContrast	REAL
@ATTRIBUTE haralickCorrelation	REAL
@ATTRIBUTE haralickVariance	REAL
@ATTRIBUTE haralickHomogeneity	REAL
@ATTRIBUTE haralickSumAverage	REAL
@ATTRIBUTE haralickSumVariance	REAL
@ATTRIBUTE haralickSumEntropy	REAL
@ATTRIBUTE haralickEntropy	REAL
@ATTRIBUTE haralickDifVariance	REAL
@ATTRIBUTE haralickDifEntropy	REAL
@ATTRIBUTE haralickIMC1	REAL
@ATTRIBUTE haralickIMC2	REAL
@ATTRIBUTE haralickMCC	REAL
@ATTRIBUTE ngtdmCoarsness 	REAL
@ATTRIBUTE ngtdmContrast 	REAL
@ATTRIBUTE ngtdmBusyness 	REAL
@ATTRIBUTE ngtdmComplexity 	REAL
@ATTRIBUTE ngtdmTextureStrength 	REAL
@ATTRIBUTE class 	{0,1}

@DATA
5.017737e-04,3.743606e+04,4.471894e-02,9.053715e+04,2.631805e-04,5.316018e+02,3.165451e+05,6.572398e+00,1.168793e+01,3.743543e+04,5.394525e+00,-5.419407e-01,9.999160e-01,9.994350e-01,1.826978e+02,7.974883e-02,1.760043e-07,1.174595e+04,3.441855e+06,0
5.557524e-04,3.744008e+04,4.872582e-02,8.818221e+04,2.004326e-04,5.242096e+02,3.093453e+05,6.427070e+00,1.149009e+01,3.743946e+04,5.358684e+00,-5.547522e-01,9.999265e-01,9.995365e-01,2.290712e+02,9.070011e-02,2.356218e-07,8.320074e+03,3.121471e+06,0
3.417796e-04,3.748137e+04,4.034267e-02,7.250086e+04,2.333190e-04,4.777499e+02,2.625153e+05,6.557095e+00,1.204603e+01,3.748074e+04,5.538197e+00,-5.059492e-01,9.998571e-01,9.986495e-01,2.080170e+02,1.000975e-01,3.813331e-07,7.704242e+03,2.114406e+06,0
1.173896e-03,3.816960e+04,8.701137e-02,1.023687e+05,5.163048e-04,5.581367e+02,3.496148e+05,6.361300e+00,1.146687e+01,3.816898e+04,5.262011e+00,-5.324065e-01,9.998805e-01,9.996121e-01,1.156743e+02,1.453196e-01,1.819824e-07,2.073928e+04,5.049807e+06,0
4.028836e-04,3.762162e+04,5.684612e-02,7.404768e+04,2.360542e-04,4.812487e+02,2.673458e+05,6.563161e+00,1.202745e+01,3.762099e+04,5.384153e+00,-5.123331e-01,9.998742e-01,9.992097e-01,2.004040e+02,1.161444e-01,3.682512e-07,1.173815e+04,3.393515e+06,0
5.562935e-04,3.758518e+04,5.832841e-02,7.644212e+04,2.281016e-04,4.886214e+02,2.746079e+05,6.488545e+00,1.166135e+01,3.758456e+04,5.354232e+00,-5.413433e-01,9.999139e-01,9.993164e-01,2.233568e+02,9.571843e-02,2.551461e-07,9.504982e+03,3.593019e+06,0
7.646196e-04,3.808199e+04,1.052020e-01,8.718951e+04,3.958845e-04,5.141056e+02,3.046454e+05,6.552193e+00,1.207038e+01,3.808136e+04,5.512403e+00,-5.449703e-01,9.999439e-01,9.996579e-01,2.156920e+02,1.406184e-01,1.638578e-07,1.662612e+04,6.024660e+06,0
3.500828e-04,3.752500e+04,5.420771e-02,7.988286e+04,2.280738e-04,4.992951e+02,2.845499e+05,6.595997e+00,1.221028e+01,3.752438e+04,5.479585e+00,-5.126102e-01,9.998898e-01,9.991776e-01,2.055920e+02,8.470596e-02,1.957161e-07,1.560942e+04,3.655244e+06,0
3.324721e-04,3.776316e+04,8.247168e-02,8.789662e+04,3.542018e-04,5.198731e+02,3.079448e+05,6.644763e+00,1.285049e+01,3.776253e+04,5.651086e+00,-4.461732e-01,9.996907e-01,9.990430e-01,1.624225e+02,2.043642e-01,2.368988e-07,2.506449e+04,3.652241e+06,0
3.254906e-04,3.722773e+04,2.493507e-02,7.718771e+04,1.662604e-04,4.950667e+02,2.777256e+05,6.558483e+00,1.223140e+01,3.722710e+04,5.218075e+00,-4.327118e-01,9.994173e-01,9.946462e-01,1.190657e+02,1.071689e-01,4.091323e-07,1.487789e+04,1.492557e+06,0
5.847159e-04,3.707874e+04,8.494746e-03,7.704049e+04,1.449123e-04,4.959051e+02,2.773021e+05,6.398077e+00,1.151512e+01,3.707811e+04,4.854936e+00,-4.042174e-01,9.985383e-01,9.929472e-01,7.956340e+01,6.337174e-02,5.771101e-07,1.330136e+04,9.816409e+05,0
2.424716e-04,3.795178e+04,6.376135e-02,6.702160e+04,7.956261e-04,4.568917e+02,2.454424e+05,6.639161e+00,1.277037e+01,3.795116e+04,5.760457e+00,-4.564325e-01,9.997381e-01,9.980425e-01,1.145232e+02,2.171308e-01,6.104108e-07,1.649464e+04,1.760949e+06,0
6.616222e-04,3.808325e+04,1.052555e-01,8.288325e+04,3.952369e-04,5.015947e+02,2.922407e+05,6.401208e+00,1.171880e+01,3.808263e+04,5.382654e+00,-5.030548e-01,9.998153e-01,9.996315e-01,1.654668e+02,1.242385e-01,3.855860e-07,1.862349e+04,4.919220e+06,0
2.550177e-04,3.745457e+04,5.003743e-02,8.880733e+04,5.383215e-04,5.260706e+02,3.112821e+05,6.538265e+00,1.265357e+01,3.745394e+04,5.492682e+00,-4.427080e-01,9.996259e-01,9.986585e-01,1.550838e+02,1.108941e-01,2.354125e-07,2.797324e+04,3.757167e+06,0
9.135264e-04,3.712281e+04,1.749849e-02,8.602666e+04,1.524106e-04,5.222960e+02,3.045839e+05,6.396586e+00,1.136780e+01,3.712218e+04,4.942685e+00,-4.622934e-01,9.994658e-01,9.963948e-01,1.073673e+02,6.275849e-02,3.159363e-07,1.215130e+04,1.799347e+06,0
1.745834e-04,3.791162e+04,7.281521e-02,7.065924e+04,4.360965e-04,4.678408e+02,2.562805e+05,6.665322e+00,1.303517e+01,3.791099e+04,5.726600e+00,-4.439376e-01,9.997062e-01,9.988152e-01,1.237753e+02,2.249435e-01,6.000915e-07,3.241990e+04,2.853946e+06,0
6.846958e-04,3.729368e+04,4.037311e-03,1.016642e+05,1.722357e-04,5.656397e+02,3.504653e+05,6.009068e+00,1.121979e+01,3.729305e+04,4.927257e+00,-3.103099e-01,9.918614e-01,9.891106e-01,4.552529e+01,7.985212e-02,4.805146e-07,3.963130e+04,1.390512e+06,0
2.506720e-04,3.762962e+04,6.520429e-02,7.972065e+04,2.559575e-04,4.977517e+02,2.840350e+05,6.636465e+00,1.245643e+01,3.762899e+04,5.561099e+00,-4.935185e-01,9.998574e-01,9.993236e-01,1.334234e+02,2.240827e-01,3.446884e-07,2.636608e+04,2.365165e+06,0
1.823461e-04,3.742933e+04,4.347448e-02,7.764007e+04,2.267645e-04,4.941016e+02,2.784715e+05,6.564151e+00,1.301335e+01,3.742870e+04,5.472168e+00,-3.827803e-01,9.989439e-01,9.959749e-01,8.510154e+01,2.866531e-01,5.278915e-07,3.772995e+04,1.432785e+06,0
2.746370e-04,3.733728e+04,3.948451e-02,8.146393e+04,1.821191e-04,5.062194e+02,2.900843e+05,6.527579e+00,1.252055e+01,3.733666e+04,5.285017e+00,-4.430819e-01,9.996001e-01,9.981976e-01,1.172906e+02,1.808392e-01,4.038804e-07,3.174016e+04,2.170576e+06,0
2.950054e-04,3.737760e+04,4.032495e-02,9.021716e+04,1.926040e-04,5.313366e+02,3.158309e+05,6.588351e+00,1.237350e+01,3.737698e+04,5.387724e+00,-4.775909e-01,9.997885e-01,9.982249e-01,1.248635e+02,1.634155e-01,2.806806e-07,3.292159e+04,2.502477e+06,0
1.623947e-04,3.792309e+04,9.105792e-02,8.290351e+04,3.529451e-04,5.035658e+02,2.923940e+05,6.688717e+00,1.321534e+01,3.792246e+04,5.596247e+00,-4.331291e-01,9.996646e-01,1.000000e+00,1.106978e+02,3.036459e-01,3.697350e-07,4.578835e+04,2.685324e+06,0
2.580078e-04,3.772843e+04,7.282743e-02,7.861796e+04,4.000258e-04,4.930268e+02,2.801826e+05,6.631478e+00,1.254954e+01,3.772781e+04,5.637363e+00,-4.887068e-01,9.998509e-01,9.991389e-01,1.477155e+02,1.972390e-01,2.922874e-07,2.819461e+04,3.182154e+06,0
7.639062e-04,3.718396e+04,1.467504e-04,9.888490e+04,1.598469e-04,5.588896e+02,3.429967e+05,5.683789e+00,1.092346e+01,3.718334e+04,4.741482e+00,-2.222437e-01,9.669077e-01,9.181893e-01,3.535284e+01,1.363032e-01,7.428771e-07,3.337804e+04,6.534292e+05,0
5.862249e-04,3.703843e+04,1.021962e-02,8.262707e+04,1.425782e-04,5.129409e+02,2.942940e+05,6.487971e+00,1.117058e+01,3.703780e+04,4.758279e+00,-4.701874e-01,9.994791e-01,9.971570e-01,9.270728e+01,1.309509e-01,6.182620e-07,1.219364e+04,8.932511e+05,0
